"filename", "language", "AL", "HTTP", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8141737.app", "alapp", 0, 0, 4204, 0, 0, 23, 4227
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8150928.app", "alapp", 0, 0, 4225, 0, 0, 22, 4247
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8150953.app", "alapp", 0, 0, 4235, 0, 0, 21, 4256
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8151008.app", "alapp", 0, 0, 4244, 0, 0, 22, 4266
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8161328.app", "alapp", 0, 0, 4213, 0, 0, 23, 4236
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8161948.app", "alapp", 0, 0, 4195, 0, 0, 25, 4220
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8162019.app", "alapp", 0, 0, 4177, 0, 0, 22, 4199
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8162038.app", "alapp", 0, 0, 4173, 0, 0, 22, 4195
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\DSVAPI.Codeunit.al", "AL", 155, 0, 0, 0, 70, 42, 267
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\LTSautomate.Codeunit.al", "AL", 55, 0, 0, 0, 14, 4, 73
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\SubscriberCU.Codeunit.al", "AL", 26, 0, 0, 0, 1, 3, 30
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\TESTCU.Codeunit.al", "AL", 0, 0, 0, 0, -16, -2, -18
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\AddressTypes.Enum.al", "AL", 16, 0, 0, 0, 6, 5, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumItemUnitOfMeasureCode.Enum.al", "AL", 12, 0, 0, 0, 3, 2, 17
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumTableType.Enum.al", "AL", 17, 0, 0, 0, 9, 10, 36
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\http\DSVAPIOrders.REST_http.http", "HTTP", 0, 253, 0, 0, 0, 8, 261
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\http\DSVAPISearch.REST_http.http", "HTTP", 0, 11, 0, 0, 0, 17, 28
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\http\REST_http.http", "HTTP", 0, 24, 0, 0, 0, 7, 31
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\EmployeeQualifications.PageExt.al", "AL", 14, 0, 0, 0, 0, 12, 26
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\GetShipmentLines.PageExt.al", "AL", 10, 0, 0, 0, 0, 0, 10
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ItemCard.PageExt.al", "AL", 3, 0, 0, 0, 62, 4, 69
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ItemCardExtSC.PageExt.al", "AL", -3, 0, 0, 0, -38, -4, -45
