Date : 2025-06-02 14:21:50
Directory : c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST
Total : 319 files,  112477 codes, 5331 comments, 4279 blanks, all 122087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemReclassJournalExtSC.PageExt.al                   | AL                 |          8 |          9 |          4 |         21 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemReferenceEntries.PageExt.al                      | AL                 |          7 |          9 |          5 |         21 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\JobQueueEntry.PageExt.al                             | AL                 |         85 |         39 |         15 |        139 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\MOBMobileWMSPackageSetup.PageExt.al                  | AL                 |         14 |          5 |          5 |         24 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\MOSLicensePlateContentExtSC.PageExt.al               | AL                 |          0 |         30 |          5 |         35 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\MachineCenterTaskList.PageExt.al                     | AL                 |         21 |          0 |          6 |         27 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\NOTOTransferOrderLinesExtSC.PageExt.al               | AL                 |         29 |          3 |          6 |         38 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\OutputJournalExtSC.PageExt.al                        | AL                 |         12 |          9 |          5 |         26 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PhysInventoryJournal.PageExt.al                      | AL                 |         54 |          9 |         12 |         75 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PlanningWorksheet.PageExt.al                         | AL                 |         66 |          4 |         10 |         80 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PostedInvtShipments.PageExt.al                       | AL                 |          4 |          3 |          4 |         11 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PostedPurchaseInvoices.PageExt.al                    | AL                 |         28 |          3 |          4 |         35 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PostedSalesInvoice.PageExt.al                        | AL                 |         71 |         11 |          3 |         85 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PostedSalesInvoiceSubform.PageExt.al                 | AL                 |         39 |          6 |          6 |         51 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PostedSalesInvoices.PageExt.al                       | AL                 |         40 |         10 |          7 |         57 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\PostedSalesShipment.PageExt.al                       | AL                 |          0 |         51 |          2 |         53 |
