"filename", "language", "AL", "HTTP", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\IICTrackingBC.Page.al", "AL", 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\InventoryMapShelfNoSC.Page.al", "AL", 6, 0, 0, 0, 0, -1, -6, -1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\InventoryRessources.Page.al", "AL", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\PictureURLDialog.Page.al", "AL", 5, 0, 0, 0, 0, 0, -5, 0
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\ProdControlListRoutingLine.Page.al", "AL", 0, 0, 0, 0, 0, 0, -4, -4
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\ProdControllingPanPlan.Page.al", "AL", 4, 0, 0, 0, 0, -1, -3, 0
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\ProdControllingRoutingLine.Page.al", "AL", 20, 0, 0, 0, 0, 0, -1, 19
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\ProductionControlling.Page.al", "AL", 23, 0, 0, 0, 0, 0, -7, 16
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\PurchLinesSC.Page.al", "AL", 4, 0, 0, 0, 0, 0, -8, -4
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\REST_http.http", "HTTP", 0, 24, 0, 0, 0, 0, 7, 31
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\SalesCommission.Page.al", "AL", 431, 0, 0, 0, 0, 31, 46, 508
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\SalesDocumentsStatistics.Page.al", "AL", -411, 0, 0, 0, 0, -27, -54, -492
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\SalesLine.Page.al", "AL", 30, 0, 0, 0, 0, 0, -8, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\SalesLineSubform.Page.al", "AL", -1, 0, 0, 0, 0, -2, -40, -43
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\SalespriceSubPageSC.Page.al", "AL", -2, 0, 0, 0, 0, -1, 4, 1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\SalespricelistCardSC.Page.al", "AL", -13, 0, 0, 0, 0, 0, -19, -32
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\SearchAndReplace.Page.al", "AL", 62, 0, 0, 0, 0, 4, 15, 81
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\ShipITdebug.Page.al", "AL", 54, 0, 0, 0, 0, 3, -4, 53
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\TestPage.Page.al", "AL", 25, 0, 0, 0, 0, 4, 5, 34
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\WMSPickBinBalanceSC.Page.al", "AL", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\WebServiceOrderFormCustomer.Page.al", "AL", 2, 0, 0, 0, 0, -2, -9, -9
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\WebServiceOrderFormItems.Page.al", "AL", 14, 0, 0, 0, 0, 0, -1, 13
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page\WebServiceSalesPriceListSource.Page.al", "AL", 11, 0, 0, 0, 0, 0, -13, -2
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\report\PallelisteEksport50011.Report.al", "AL", 21, 0, 0, 0, 0, -4, 1, 18
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\BlankExtTest.TableExt.al", "AL", 0, 0, 0, 0, 0, -8, -3, -11
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\CustomerSC.TableExt.al", "AL", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\IDYSTransportOrderLine.TableExt.al", "AL", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\ItemExtSC.TableExt.al", "AL", 0, 0, 0, 0, 0, 0, -2, -2
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\ItemLedgerEntry.TableExt.al", "AL", 11, 0, 0, 0, 0, 9, 0, 20
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\ItemUnitofMeasureExtSC.TableExt.al", "AL", 0, 0, 0, 0, 0, 3, -1, 2
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\PostedWhseShipmentHeader.TableExt.al", "AL", 11, 0, 0, 0, 0, 8, 8, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\PostedWhseShipmentLine.TableExt.al", "AL", 18, 0, 0, 0, 0, 6, 0, 24
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\ProdOrderLine.TableExt.al", "AL", 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\ProductionOrderExtSC.TableExt.al", "AL", 0, 0, 0, 0, 0, 0, -6, -6
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\SalesHeaderSC.TableExt.al", "AL", 0, 0, 0, 0, 0, 0, -6, -6
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\SalesInvoiceLine.TableExt.al", "AL", 13, 0, 0, 0, 0, 6, 2, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\SalesLineExtSC.TableExt.al", "AL", 0, 0, 0, 0, 0, 0, -4, -4
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\table ext\SalesShipmentHeader.TableExt.al", "AL", 12, 0, 0, 0, 0, 8, 5, 25
