"filename", "language", "JSON", "AL", "alapp", "HTTP", "XML", "Batch", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PuhCrMemoSubform.PageExt.al", "AL", 0, 29, 0, 0, 0, 0, 3, 5, 37
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PurchInvoiceSubform.PageExt.al", "AL", 0, 52, 0, 0, 0, 0, 3, 4, 59
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PurchaseOrder.PageExt.al", "AL", 0, 48, 0, 0, 0, 0, 6, 4, 58
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PurchaseOrderListExtSC.PageExt.al", "AL", 0, 25, 0, 0, 0, 0, 3, 10, 38
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PurchaseOrderSubform.PageExt.al", "AL", 0, 58, 0, 0, 0, 0, 4, 11, 73
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PurchasePriceListLines.PageExt.al", "AL", 0, 11, 0, 0, 0, 0, 3, 7, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PurchasePriceListsExtSC.PageExt.al", "AL", 0, 14, 0, 0, 0, 0, 3, 6, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ReleasedProdOrderLines.PageExt.al", "AL", 0, 23, 0, 0, 0, 0, 8, 10, 41
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ReleasedProductionOrder.PageExt.al", "AL", 0, 30, 0, 0, 0, 0, 11, 9, 50
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ReleasedProductionOrders.PageExt.al", "AL", 0, 39, 0, 0, 0, 0, 12, 8, 59
