"filename", "language", "AL", "HTTP", "Markdown", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ForNAVReports.PageExt.al", "AL", 7, 0, 0, 0, 0, 0, 9, 5, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\GeneralJournalExtSC.PageExt.al", "AL", 41, 0, 0, 0, 0, 0, 3, 7, 51
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\GetShipmentLines.PageExt.al", "AL", 17, 0, 0, 0, 0, 0, 8, 7, 32
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\IDYSTranspOrderLstExtSC.PageExt.al", "AL", 13, 0, 0, 0, 0, 0, 3, 7, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\IDYSTransportOrderCard.PageExt.al", "AL", 31, 0, 0, 0, 0, 0, 3, 7, 41
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\IDYSTransportOrderLines.PageExt.al", "AL", 7, 0, 0, 0, 0, 0, 7, 3, 17
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ITIIICDocumentLogEntriesExtSC.PageExt.al", "AL", 19, 0, 0, 0, 0, 0, 9, 3, 31
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\InventorySetup.PageExt.al", "AL", 65, 0, 0, 0, 0, 0, 9, 3, 77
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ItemCardExtSC.PageExt.al", "AL", 3, 0, 0, 0, 0, 0, 38, 4, 45
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ItemCrossReferenceEntriesExtSC.PageExt.al", "AL", 9, 0, 0, 0, 0, 0, 9, 4, 22
